date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:56:17	191443/191443	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20May%202022%2009:56:16%20GMT	https://looksrare.org/	/Users/joshhung/Desktop/%e5%9b%9b%e4%b8%8b/code/try2/looksrare.org/index.html	(from )
17:56:17	24/24	---M--	200	added ('OK')	text/plain	date:Tue,%2010%20May%202022%2009:56:16%20GMT	https://looksrare.org/robots.txt		(from )
17:56:18	4028/4028	---M--	200	added ('OK')	image/png	date:Tue,%2010%20May%202022%2009:56:18%20GMT	https://looksrare.org/apple-touch-icon.png	/Users/joshhung/Desktop/%e5%9b%9b%e4%b8%8b/code/try2/looksrare.org/apple-touch-icon.png	(from https://looksrare.org/)
17:56:19	1197/1197	---M--	200	added ('OK')	image/png	date:Tue,%2010%20May%202022%2009:56:19%20GMT	https://looksrare.org/favicon-32x32.png	/Users/joshhung/Desktop/%e5%9b%9b%e4%b8%8b/code/try2/looksrare.org/favicon-32x32.png	(from https://looksrare.org/)
17:56:20	404560/404560	---M--	200	added ('OK')	image/png	date:Tue,%2010%20May%202022%2009:56:17%20GMT	https://looksrare.org/images/meta-2.png	/Users/joshhung/Desktop/%e5%9b%9b%e4%b8%8b/code/try2/looksrare.org/images/meta-2.png	(from https://looksrare.org/)
17:56:20	789/789	---M--	200	added ('OK')	image/png	date:Tue,%2010%20May%202022%2009:56:20%20GMT	https://looksrare.org/favicon-16x16.png	/Users/joshhung/Desktop/%e5%9b%9b%e4%b8%8b/code/try2/looksrare.org/favicon-16x16.png	(from https://looksrare.org/)
17:56:21	334/334	---MCZ	200	added ('OK')	application/json	date:Tue,%2010%20May%202022%2009:56:21%20GMT	https://looksrare.org/manifest.json	/Users/joshhung/Desktop/%e5%9b%9b%e4%b8%8b/code/try2/looksrare.org/manifest.json	(from https://looksrare.org/)
17:56:22	14327/14327	---MCZ	200	added ('OK')	text/css	date:Tue,%2010%20May%202022%2009:56:22%20GMT	https://looksrare.org/_next/static/css/898dd38ee45185d1.css	/Users/joshhung/Desktop/%e5%9b%9b%e4%b8%8b/code/try2/looksrare.org/_next/static/css/898dd38ee45185d1.css	(from https://looksrare.org/)
17:56:24	5524/5524	---MCZ	200	added ('OK')	text/css	date:Tue,%2010%20May%202022%2009:56:23%20GMT	https://looksrare.org/_next/static/css/304900cd53b5f91e.css	/Users/joshhung/Desktop/%e5%9b%9b%e4%b8%8b/code/try2/looksrare.org/_next/static/css/304900cd53b5f91e.css	(from https://looksrare.org/)
17:56:24	91434/91434	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2010%20May%202022%2009:56:24%20GMT	https://looksrare.org/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	/Users/joshhung/Desktop/%e5%9b%9b%e4%b8%8b/code/try2/looksrare.org/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	(from https://looksrare.org/)
17:56:25	3985/3985	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2010%20May%202022%2009:56:25%20GMT	https://looksrare.org/_next/static/chunks/webpack-b408122688c8ce81.js	/Users/joshhung/Desktop/%e5%9b%9b%e4%b8%8b/code/try2/looksrare.org/_next/static/chunks/webpack-b408122688c8ce81.js	(from https://looksrare.org/)
17:56:27	130050/130050	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2010%20May%202022%2009:56:26%20GMT	https://looksrare.org/_next/static/chunks/framework-348f86d225132ea3.js	/Users/joshhung/Desktop/%e5%9b%9b%e4%b8%8b/code/try2/looksrare.org/_next/static/chunks/framework-348f86d225132ea3.js	(from https://looksrare.org/)
17:56:27	104170/104170	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2010%20May%202022%2009:56:27%20GMT	https://looksrare.org/_next/static/chunks/main-a65d9115d668cce7.js	/Users/joshhung/Desktop/%e5%9b%9b%e4%b8%8b/code/try2/looksrare.org/_next/static/chunks/main-a65d9115d668cce7.js	(from https://looksrare.org/)
17:56:30	23335/23335	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2010%20May%202022%2009:56:29%20GMT	https://looksrare.org/_next/static/chunks/834-9e5f5cd1371236f9.js	/Users/joshhung/Desktop/%e5%9b%9b%e4%b8%8b/code/try2/looksrare.org/_next/static/chunks/834-9e5f5cd1371236f9.js	(from https://looksrare.org/)
17:56:30	1813575/1813575	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2010%20May%202022%2009:56:28%20GMT	https://looksrare.org/_next/static/chunks/pages/_app-6d7a4fbf8917f12b.js	/Users/joshhung/Desktop/%e5%9b%9b%e4%b8%8b/code/try2/looksrare.org/_next/static/chunks/pages/_app-6d7a4fbf8917f12b.js	(from https://looksrare.org/)
17:56:31	3615/3615	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2010%20May%202022%2009:56:31%20GMT	https://looksrare.org/_next/static/chunks/451-e86b00df8dce23c5.js	/Users/joshhung/Desktop/%e5%9b%9b%e4%b8%8b/code/try2/looksrare.org/_next/static/chunks/451-e86b00df8dce23c5.js	(from https://looksrare.org/)
